GCCode  state    Latitude   Longtitude  FP Name
GC35C3H NotFound 50°46.234N 014°44.905E 21 Na_Knoflik,_kacere,_na_Knoflik...
GCNAZ0 NotFound 50°49.288N 014°38.453E 0 Nadeje_/_Der_Staudamm_Nadeje
GC1DVEP NotFound 50°47.241N 014°39.419E 51 Nadeje_umira_posledni
GC1TYE9 NotFound 50°35.256N 015°09.404E 0 Namesti_Ceskeho_raje
GC2MVE3 NotFound 50°44.372N 014°58.592E 10 Naucna_stezka_"Terasy_Jestedu"
GC1ED7E NotFound 50°32.021N 015°15.715E 22 NEJLEPSI_SESTRY_SVETA
GC1HFQV NotFound 50°42.445N 015°27.483E 10 Nemelem_nemelem
GC1ZENN Found 50°45.101N 015°09.798E 0 Nemy_Bobes
GC25FY8 NotFound 50°46.595N 015°04.670E 22 Neptunova_kasna_Liberec_/_Neptune_Fountain
GC13C06 NotFound 50°44.814N 014°28.775E 54 Neznalkova_cesta_do_Slunecniho_mesta
GC1HWTG NotFound 50°33.403N 015°19.438E 0 No_jo,_ale_kolik_je_X?
GC1WVHT NotFound 50°38.125N 015°13.757E 12 Nocni_dobrodruzstvi
GC1MQAW NotFound 50°43.734N 015°11.456E 241 Nocni_upiri_Wherigo_-_cwg_smenarna
GC1EN3D NotFound 50°43.441N 015°12.605E 12 Novoveska_fotbalova
GC26DB4 NotFound 50°44.377N 015°09.506E 0 Novy_park
GC12DP7 NotFound 50°41.337N 014°40.246E 32 NUZE,_WATSONE?/SO,_WATSON?
GC1QG0V NotFound 50°45.769N 015°10.670E 55 O_Budulinkovi
GC11ANQ Found 50°46.325N 014°47.402E 2 Obelix´s_trip
GC182WW Found 50°45.074N 015°06.401E 54 Obet_nejvyssi_-_The_highest_victim
GC18DD9 NotFound 50°46.047N 015°03.707E 10 Oblastni_galerie_v_Liberci
GC159KY NotFound 50°30.684N 015°12.058E 9 Ocima_datla
GC159VK NotFound 50°32.007N 015°14.362E 9 Ocima_stareho_sokola
GC2N9PN NotFound 50°43.978N 015°10.539E 8 OKO_BERE
