  GCKod   Latitude  Longtitude                           Name
GCYMG7    50°43,965N 15°05,948E     sv._Vaclav_-_Vratislavice                         
GCVQA7    50°43,810N 15°04,840E     Taich_-_Vesecky_okruh_#4                          
GC2HZN7   50°42,519N 15°08,116E     Tajemstvi_archivu_dr._Watsona                     
GC28V54   50°41,250N 14°53,383E     TAJEMSTVI_KOCICICH_SKAL                           
GC2GTN3   50°35,070N 15°09,556E     Tajemstvi_pana_Dr._/_Secret_of_Mr._Dr.            
GC2H1D5   50°47,591N 14°43,785E     Tajna_vojenska_zakladna_v_Hermanicich_v_Podjestedi
GC2PQ2N   50°43,151N 15°13,405E     Tak_anebo_tak                                     
GC34Q51   50°50,572N 15°20,319E     Tam_kde_se_ztraci_reka                            
GC1MF58   50°44,151N 15°10,576E     The_Sculptures_Of_Jablonec_nad_Nisou              
GC1N1TA   50°44,280N 15°09,687E     Treninkove_centrum_Mseno                          
GC2JX12   50°35,495N 14°38,423E     Tri_ukoly_pro_tri_prince                          
GC14MWK   50°43,546N 14°35,945E     Trináctá_komnata_-_KHzPaB                         
GC1JMGB   50°30,683N 15°13,287E     Troskovicke_lipy                                  
GC11764   50°46,407N 15°04,578E     TUL                                               
GC1CZNF   50°33,854N 15°28,881E     Tulackuv_statek                                   
GC1Q3BD   50°44,342N 14°33,845E     Tvrznik                                           
GC2N77V   50°45,232N 15°10,461E     Ty_lesniku,_kouzelniku,_ty_jsi_lesa_pan!          
GC296EW   50°37,056N 15°20,379E     U_Kremilka_a_mozna_i_Vochomurky_:o)               
GCXWAZ    50°47,653N 15°04,884E     U_Obrazku                                         
GC2RT1M   50°45,276N 15°02,463E     Uzka_kes                                          
GC1128T   50°33,745N 15°09,775E     Valdstejn                                         
GC1JRWV   50°45,134N 15°08,700E     Vanocni_cache                                     
GC2GB27   50°38,936N 14°29,832E     Vecerni_vyrazeni                                  
GC1PKXZ   50°45,820N 15°03,347E     Vesela_Zed_-_Cheerful_Wall                        
GC1KV7H   50°48,989N 15°07,339E     Vetrna_Lhota                                      
GC15GAA   50°42,705N 14°31,078E     Vidim_Sever                                       
GC20E7G   50°43,586N 15°10,600E     vila_Steinberg                                    
GCXYRW    50°46,100N 15°04,372E     Vodní_dílo_Harcov_/_Harcov_Dam                    
GC1WTRF   50°46,499N 15°24,596E     Vodnik_Pantoflicek                                
GC1ZDEQ   50°44,139N 15°07,921E     VogelStein                                        
